title,artist,youtube_url,video_id,status,stems,has_chords,has_gp,processing_seconds
Ramble On,Led Zeppelin,https://www.youtube.com/watch?v=LzGBQerkvWs,LzGBQerkvWs,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/de9dae9a-6d4b-4ea1-8179-a04ae391ee48/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/de9dae9a-6d4b-4ea1-8179-a04ae391ee48/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/de9dae9a-6d4b-4ea1-8179-a04ae391ee48/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/de9dae9a-6d4b-4ea1-8179-a04ae391ee48/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/de9dae9a-6d4b-4ea1-8179-a04ae391ee48/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/de9dae9a-6d4b-4ea1-8179-a04ae391ee48/stems/vocals.mp3'}",False,False,540.9
Thank You,Led Zeppelin,https://www.youtube.com/watch?v=12KbOAc8vmk,12KbOAc8vmk,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/other.mp3', 'other_deep': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/deep_pass_0/htdemucs_6s/other/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/08f324bc-8037-4469-8259-a62af1ee9143/stems/vocals.mp3'}",False,False,474.5
Blackbird,The Beatles,https://www.youtube.com/watch?v=Man4Xw8Xypo,Man4Xw8Xypo,failed,0,False,False,420.3
Yesterday,The Beatles,https://www.youtube.com/watch?v=NrgmdOz227I,NrgmdOz227I,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/other.mp3', 'other_deep': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/deep_pass_0/htdemucs_6s/other/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/70290a45-abb9-4461-8e7c-da86c183112a/stems/vocals.mp3'}",False,False,362.6
Let It Be,The Beatles,https://www.youtube.com/watch?v=QDYfEBY9NM4,QDYfEBY9NM4,timeout,0,False,False,610.8
Purple Haze,Jimi Hendrix,https://www.youtube.com/watch?v=WGoDaYjdfSg,WGoDaYjdfSg,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/edaff1ee-8768-4000-83bb-ecf1a6fd935c/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/edaff1ee-8768-4000-83bb-ecf1a6fd935c/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/edaff1ee-8768-4000-83bb-ecf1a6fd935c/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/edaff1ee-8768-4000-83bb-ecf1a6fd935c/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/edaff1ee-8768-4000-83bb-ecf1a6fd935c/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/edaff1ee-8768-4000-83bb-ecf1a6fd935c/stems/vocals.mp3'}",False,False,226.0
Hey Joe,Jimi Hendrix,https://www.youtube.com/watch?v=rXwMrBb2x1Q,rXwMrBb2x1Q,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/0c701e5c-ddcc-4931-8819-8a3216f30890/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/0c701e5c-ddcc-4931-8819-8a3216f30890/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/0c701e5c-ddcc-4931-8819-8a3216f30890/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/0c701e5c-ddcc-4931-8819-8a3216f30890/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/0c701e5c-ddcc-4931-8819-8a3216f30890/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/0c701e5c-ddcc-4931-8819-8a3216f30890/stems/vocals.mp3'}",False,False,410.7
All Along the Watchtower,Jimi Hendrix,https://www.youtube.com/watch?v=TLV4_xaYynY,TLV4_xaYynY,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/08941e48-e4a8-4216-a962-274e7242e79f/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/08941e48-e4a8-4216-a962-274e7242e79f/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/08941e48-e4a8-4216-a962-274e7242e79f/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/08941e48-e4a8-4216-a962-274e7242e79f/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/08941e48-e4a8-4216-a962-274e7242e79f/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/08941e48-e4a8-4216-a962-274e7242e79f/stems/vocals.mp3'}",False,False,477.4
Little Wing,Jimi Hendrix,https://www.youtube.com/watch?v=35luFxHO5E0,35luFxHO5E0,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/69ed2c4d-8d6a-4f2b-84b9-d506992a8bc7/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/69ed2c4d-8d6a-4f2b-84b9-d506992a8bc7/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/69ed2c4d-8d6a-4f2b-84b9-d506992a8bc7/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/69ed2c4d-8d6a-4f2b-84b9-d506992a8bc7/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/69ed2c4d-8d6a-4f2b-84b9-d506992a8bc7/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/69ed2c4d-8d6a-4f2b-84b9-d506992a8bc7/stems/vocals.mp3'}",False,False,275.4
Voodoo Child (Slight Return),Jimi Hendrix,https://www.youtube.com/watch?v=L7UMubmfbH0,L7UMubmfbH0,completed,"{'bass': '/Users/jeffkozelski/stemscribe/outputs/400f17ae-2e85-4b0e-a258-18ce118268c7/stems/bass.mp3', 'drums': '/Users/jeffkozelski/stemscribe/outputs/400f17ae-2e85-4b0e-a258-18ce118268c7/stems/drums.mp3', 'guitar': '/Users/jeffkozelski/stemscribe/outputs/400f17ae-2e85-4b0e-a258-18ce118268c7/stems/guitar.mp3', 'other': '/Users/jeffkozelski/stemscribe/outputs/400f17ae-2e85-4b0e-a258-18ce118268c7/stems/other.mp3', 'piano': '/Users/jeffkozelski/stemscribe/outputs/400f17ae-2e85-4b0e-a258-18ce118268c7/stems/piano.mp3', 'vocals': '/Users/jeffkozelski/stemscribe/outputs/400f17ae-2e85-4b0e-a258-18ce118268c7/stems/vocals.mp3'}",False,False,330.9
